id;title;message;target_id;type;image;image_content_type;date;receiver_id;status
1;Rustic bleeding-edge;green 1080p Metal;USB;CSS Granite;../fake-data/blob/hipster.png;image/png;2020-01-01T09:59:41;copying copying vertical;Rubber invoice Directives
2;invoice Credit Card Account;e-enable synergies synthesizing;Administrator Practical;Specialist;../fake-data/blob/hipster.png;image/png;2020-01-01T04:10:45;Table stable asymmetric;Graphical User Interface
3;withdrawal compressing Unbranded Wooden Salad;payment Avon Terrace;interface;Health Berkshire;../fake-data/blob/hipster.png;image/png;2020-01-01T18:03:59;client-server users Washington;3rd generation 1080p Berkshire
4;Gorgeous Steel Bacon Liaison Games;Associate;system;wireless Engineer Home Loan Account;../fake-data/blob/hipster.png;image/png;2020-01-01T17:12:09;Licensed Metal Table Pataca Checking Account;Libyan Arab Jamahiriya bandwidth
5;Shirt Metal Lithuanian Litas;Investor customized Borders;Barbados visualize;cross-platform circuit Kwanza;../fake-data/blob/hipster.png;image/png;2020-01-01T21:25:28;Saint Barthelemy;Credit Card Account Arizona bottom-line
6;Rhode Island;Shoes ivory;GB Analyst;AGP;../fake-data/blob/hipster.png;image/png;2020-01-01T12:48:42;Open-source networks;multi-byte
7;Grocery Incredible;Small Metal Ball matrix;Administrator;Salad Handcrafted action-items;../fake-data/blob/hipster.png;image/png;2020-01-01T23:19:16;Configurable Directives payment;visualize Salad real-time
8;Rapid;Specialist;New Zealand Dollar Investment Account;Unbranded Cotton Ball Dominican Peso;../fake-data/blob/hipster.png;image/png;2020-01-01T22:20:45;Ports Kroon Digitized;Buckinghamshire Generic Plastic Tuna
9;driver Fresh;Steel Money Market Account;Object-based International invoice;solid state monitor evolve;../fake-data/blob/hipster.png;image/png;2020-01-01T12:08:37;District Trinidad and Tobago Dollar wireless;Legacy
10;THX Tasty Cotton Tuna real-time;Officer;Designer Granite robust;Throughway;../fake-data/blob/hipster.png;image/png;2020-01-01T16:19:07;Architect scale;Licensed Steel Soap Ridges
